GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
10129600|Due from China Pay-Direct RMB|CPDIR216(F)|Xiao-Baofoo-214(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR217(A)|HaiPay-HaiPay-2236(Available)|Hybrid|China|Debit|RMB| 2,659,364.93 | 3,354,948.00 ||
10129600|Due from China Pay-Direct RMB|CPDIR217(F)|HaiPay-HaiPay-2236(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR218(A)|LinkinPay-ECPSS-055(Available)|Hybrid|China|Debit|RMB| 496,372.30 | 624,398.00 ||
10129600|Due from China Pay-Direct RMB|CPDIR218(F)|LinkinPay-ECPSS-055(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR220(A)|eSkyPay-HNAPay-1801(Available)|Hybrid|China|Debit|RMB| 297,957.23 | 379,690.46 ||
10129600|Due from China Pay-Direct RMB|CPDIR220(F)|eSkyPay-HNAPay-1801(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR221(A)|AllInPay-AllInPay-2001(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR221(F)|AllInPay-AllInPay-2001(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR222(A)|AllInPay-AllInPay-2002(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR222(F)|AllInPay-AllInPay-2002(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR223(A)|LinkinPay-eBatong-056(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR223(F)|LinkinPay-eBatong-056(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR224(A)|Xiao-UnicomPay-209(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR224(F)|Xiao-UnicomPay-209(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR225(A)|Xiao-UnicomPay-210(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR225(F)|Xiao-UnicomPay-210(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR226(A)|HaiPay-FL-180(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR226(F)|HaiPay-FL-180(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR227(A)|HaiPay-FL-181(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR227(F)|HaiPay-FL-181(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR228(A)|HaiPay-FL-182(Available)|Voucher|China|Debit|RMB| -   | -   ||
