GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1|Column2|Column3||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR165(F)|LinkinPay-eBatong-045(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR168(A)|eSkyPay-IPS-1101(Available)|Hybrid|China|Debit|RMB| 532,865.93 | 665,438.45 |1.248791511|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR168(F)|eSkyPay-IPS-1101(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR169|PSP - Mr. Chan Bank-in-transit|Offline|China|Debit|HKD| 694.93 | 694.93 |1|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR171(A)|LinkinPay-YeePay-048(Available)|Hybrid|China|Debit|RMB| 20.68 | 25.90 |1.252417795|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR171(F)|LinkinPay-YeePay-048(Float) |Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR173(A)|HaiPay-FL-158(Available)|Hybrid|China|Debit|RMB| 4,106,740.93 | 5,160,125.27 |1.256501288|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR173(F)|HaiPay-FL-158(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR176(A)|LinkinPay-eBatong-049(Available) |Hybrid|China|Debit|RMB| 302,657.29 | 370,840.40 |1.225281572|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR176(F)|LinkinPay-eBatong-049(Float) |Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR179(A)|Huanmei-UnionPay-189(Available)|Hybrid|China|Debit|RMB| 3,459,919.64 | 4,305,153.18 |1.244292824|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR179(F)|Huanmei-UnionPay-189(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR184(A)|HaiPay-HaiPay-2233(Available)|Gateway|China|Debit|RMB| 491,527.89 | 617,226.22 |1.255729802|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR184(F)|HaiPay-HaiPay-2233(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR185(A)|AllInPay-AllInPay-8003(Available)|Mobile|China|Debit|RMB| 392,226.75 | 498,085.33 |1.269891281|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR185(F)|AllInPay-AllInPay-8003(Float)|Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR188(A)|WeiHueiPay-95ePay-100081(Available)|Gateway|China|Debit|RMB| 1,327,718.98 | 1,682,054.42 |1.266875329|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR188(F)|WeiHueiPay-95ePay-100081(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR189(A)|HaiPay-HaiPay-196(Available)|Gateway|China|Debit|RMB| 12,332,235.15 | 15,607,815.54 |1.26561125|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR189(F)|HaiPay-HaiPay-196(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR190(A)|Xiao-Baofoo-200(Available)|Gateway|China|Debit|RMB| 12,636,424.12 | 16,013,260.05 |1.267230341|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR190(F)|Xiao-Baofoo-200(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR194(A)|LinkinPay-ECPSS-053(Available)|Hybrid|China|Debit|RMB| 1,480,037.31 | 1,849,814.31 |1.249843026|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR194(F)|LinkinPay-ECPSS-053(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR195(A)|ECPSS-ECPSS-17609(Available)|Hybrid|China|Debit|RMB| 892,417.26 | 1,125,644.23 |1.261342962|||x||||||||||||||||||||||||||||
